timestamp,accel_x,accel_y,accel_z,alternator_current,altitude_acc,angle_slip,angle_track,auto_status,batt_volt,brake_pressure,carter_temp,curvature_radius,digital,ect,ecu_temp,engine_in,engine_rpm,front_left_damper,front_left_wheel_speed,front_right_damper,front_right_wheel_speed,fuel_consump,fuel_press,fuel_pump_current,gear,gs_id,iat,ignition_current,imu_status,injection_current,lamda,latitude,latitude_acc,longitude,longitude_acc,main_fan_current,map,node_pcb_temp,non_prior_current,oil_press,oil_temp,pdm_id,pitch_acc,pitch_angle,pitch_rate,prior_current,rear_left_speed,rear_right_speed,roll_acc,roll_angle,roll_rate,steering_wheel_angle,sw_id,temp1,temp2,temp3,temp4,temp_imu,temp_pdm,time_stamp,tp,velocity_x,velocity_y,velocity_z,water_pump_current,yaw_acc,yaw_angle,yaw_rate,name,mode,started_at,ended_at,laps,total_time,best,avg,last,consistency_ms,lap_number,lap_time_s,lap_time_fmt,delta_s,delta_fmt,state
368.661,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
368.723,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
368.723,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
368.723,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
368.849,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
368.849,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
368.849,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
368.849,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
369.325,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
369.325,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
369.325,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
369.325,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
369.481,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
369.481,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
369.481,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
369.481,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
369.628,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
369.628,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
369.628,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
369.690,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
369.690,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
369.690,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
369.690,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
369.847,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
369.847,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
369.847,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
369.847,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
370.003,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
370.003,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
370.003,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
370.003,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
370.108,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
370.108,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
370.108,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
370.174,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
370.174,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
370.174,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
370.239,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
370.239,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
370.239,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
370.304,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
370.304,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
370.304,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
370.304,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
370.360,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
370.360,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
370.360,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
370.826,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
370.826,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
370.826,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
370.826,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
370.983,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
370.983,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,48896,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
370.983,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,48896,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
370.983,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,48896,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
371.298,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,48896,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
371.298,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
371.298,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
371.298,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
371.604,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
371.604,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
371.604,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
371.668,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
371.668,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
371.668,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
371.668,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
371.730,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
371.730,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
371.730,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
371.857,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
371.857,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
371.857,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
371.857,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
372.013,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
372.013,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
372.013,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
372.013,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
372.169,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
372.169,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
372.169,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
372.169,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
372.484,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
372.484,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
372.484,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
372.484,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
372.960,0,0,0,0,0,0,0,0,13,0,0,0,0,53,44,2,0,0,0,0,0,0,108,0,0,0,35,0,0,0,1,0,0,0,0,0,94,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
